CMDLINE python main.py
MEM 61.816406 1510389934.8009
CHLD 0 1.867188 1510389934.8914
CHLD 1 35.542969 1510389934.8917
MEM 61.816406 1510389934.9931
CHLD 0 1.867188 1510389935.0771
CHLD 1 35.761719 1510389935.0774
MEM 61.816406 1510389935.1788
CHLD 0 1.867188 1510389935.2622
CHLD 1 36.136719 1510389935.2625
MEM 61.816406 1510389935.3639
CHLD 0 1.867188 1510389935.4488
CHLD 1 36.582031 1510389935.4492
MEM 61.816406 1510389935.5507
CHLD 0 1.867188 1510389935.6352
CHLD 1 36.871094 1510389935.6355
MEM 61.816406 1510389935.7369
CHLD 0 1.867188 1510389935.8216
CHLD 1 37.355469 1510389935.8220
MEM 61.816406 1510389935.9234
CHLD 0 1.867188 1510389936.0077
CHLD 1 37.355469 1510389936.0080
MEM 61.816406 1510389936.1094
CHLD 0 1.867188 1510389936.1946
CHLD 1 37.609375 1510389936.1950
MEM 61.816406 1510389936.2964
CHLD 0 1.867188 1510389936.3827
CHLD 1 0.000000 1510389936.3832
MEM 61.816406 1510389936.4845
CHLD 0 1.867188 1510389936.5676
MEM 61.816406 1510389936.6691
CHLD 0 1.867188 1510389936.7556
CHLD 1 1.589844 1510389936.7560
CHLD 2 7.832031 1510389936.7564
MEM 61.816406 1510389936.8578
CHLD 0 1.867188 1510389936.9412
CHLD 1 1.589844 1510389936.9415
CHLD 2 7.710938 1510389936.9418
MEM 61.839844 1510389937.0431
MEM 61.945312 1510389937.2276
MEM 61.984375 1510389937.4129
MEM 62.105469 1510389937.5961
CHLD 0 1.824219 1510389937.6817
MEM 62.109375 1510389937.7830
CHLD 0 1.824219 1510389937.8652
CHLD 1 15.035156 1510389937.8655
MEM 62.109375 1510389937.9668
CHLD 0 1.824219 1510389938.0495
CHLD 1 17.203125 1510389938.0500
MEM 62.109375 1510389938.1513
CHLD 0 1.824219 1510389938.2347
CHLD 1 20.109375 1510389938.2351
MEM 62.109375 1510389938.3364
CHLD 0 1.824219 1510389938.4248
CHLD 1 21.621094 1510389938.4251
MEM 62.109375 1510389938.5265
CHLD 0 1.824219 1510389938.6149
CHLD 1 23.222656 1510389938.6153
MEM 62.109375 1510389938.7167
CHLD 0 1.824219 1510389938.8069
CHLD 1 24.910156 1510389938.8073
MEM 62.109375 1510389938.9087
CHLD 0 1.824219 1510389938.9960
CHLD 1 26.363281 1510389938.9963
MEM 62.109375 1510389939.0980
CHLD 0 1.824219 1510389939.1866
CHLD 1 27.976562 1510389939.1869
MEM 62.109375 1510389939.2884
CHLD 0 1.824219 1510389939.3783
CHLD 1 29.226562 1510389939.3786
MEM 62.109375 1510389939.4803
CHLD 0 1.824219 1510389939.5724
CHLD 1 30.605469 1510389939.5728
MEM 62.109375 1510389939.6742
CHLD 0 1.824219 1510389939.7585
CHLD 1 31.597656 1510389939.7589
MEM 62.109375 1510389939.8604
CHLD 0 1.824219 1510389939.9458
CHLD 1 33.132812 1510389939.9461
MEM 62.109375 1510389940.0475
CHLD 0 1.824219 1510389940.1313
CHLD 1 34.265625 1510389940.1316
MEM 62.109375 1510389940.2330
CHLD 0 1.824219 1510389940.3178
CHLD 1 34.687500 1510389940.3182
MEM 62.109375 1510389940.4196
CHLD 0 1.824219 1510389940.5048
CHLD 1 34.902344 1510389940.5051
MEM 62.109375 1510389940.6065
CHLD 0 1.824219 1510389940.6920
MEM 62.109375 1510389940.7934
CHLD 0 1.824219 1510389940.8768
CHLD 1 1.597656 1510389940.8771
CHLD 2 5.652344 1510389940.8774
MEM 62.109375 1510389940.9791
CHLD 0 1.824219 1510389941.0652
CHLD 1 1.597656 1510389941.0656
CHLD 2 7.550781 1510389941.0658
MEM 62.109375 1510389941.1672
MEM 62.847656 1510389941.3527
MEM 62.878906 1510389941.5367
MEM 62.972656 1510389941.7175
MEM 63.242188 1510389941.8995
MEM 63.425781 1510389942.0841
MEM 63.425781 1510389942.2689
MEM 63.589844 1510389942.4532
MEM 63.761719 1510389942.6356
MEM 63.984375 1510389942.8184
MEM 63.984375 1510389942.9992
MEM 63.984375 1510389943.1799
MEM 63.984375 1510389943.3602
MEM 64.550781 1510389943.5431
MEM 64.667969 1510389943.7294
MEM 64.667969 1510389943.9131
MEM 64.667969 1510389944.0985
MEM 65.140625 1510389944.2825
MEM 65.140625 1510389944.4644
MEM 65.140625 1510389944.6469
MEM 65.140625 1510389944.8274
MEM 65.394531 1510389945.0080
MEM 65.394531 1510389945.1887
MEM 65.394531 1510389945.3722
MEM 65.910156 1510389945.5563
MEM 65.910156 1510389945.7411
MEM 65.910156 1510389945.9249
MEM 65.910156 1510389946.1074
MEM 66.425781 1510389946.2913
MEM 66.546875 1510389946.4735
MEM 66.632812 1510389946.6570
MEM 66.632812 1510389946.8375
MEM 66.632812 1510389947.0181
MEM 66.632812 1510389947.1985
MEM 66.632812 1510389947.3790
MEM 66.886719 1510389947.5616
MEM 67.144531 1510389947.7462
MEM 67.144531 1510389947.9261
MEM 67.144531 1510389948.1107
MEM 67.144531 1510389948.2931
MEM 67.144531 1510389948.4753
MEM 68.316406 1510389948.6592
MEM 68.363281 1510389948.8433
MEM 68.363281 1510389949.0239
MEM 68.363281 1510389949.2043
MEM 68.363281 1510389949.3845
MEM 68.363281 1510389949.5651
MEM 68.617188 1510389949.7456
MEM 68.875000 1510389949.9281
MEM 68.875000 1510389950.1082
MEM 68.875000 1510389950.2882
MEM 68.875000 1510389950.4739
MEM 68.875000 1510389950.6556
MEM 68.875000 1510389950.8391
MEM 68.875000 1510389951.0193
MEM 68.875000 1510389951.2027
MEM 71.378906 1510389951.3848
MEM 71.378906 1510389951.5678
MEM 71.378906 1510389951.7499
MEM 71.378906 1510389951.9308
MEM 71.378906 1510389952.1116
MEM 71.378906 1510389952.2926
MEM 71.886719 1510389952.4736
MEM 71.886719 1510389952.6561
MEM 71.886719 1510389952.8424
MEM 73.175781 1510389953.0267
MEM 74.328125 1510389953.2106
MEM 74.328125 1510389953.3950
MEM 74.328125 1510389953.5763
MEM 74.328125 1510389953.7570
MEM 74.328125 1510389953.9385
MEM 74.328125 1510389954.1194
MEM 74.582031 1510389954.3004
MEM 75.031250 1510389954.4840
MEM 75.031250 1510389954.6697
MEM 75.031250 1510389954.8493
MEM 75.031250 1510389955.0330
MEM 75.031250 1510389955.2128
MEM 75.031250 1510389955.3955
MEM 75.031250 1510389955.5754
MEM 75.031250 1510389955.7552
MEM 76.835938 1510389955.9398
MEM 79.414062 1510389956.1214
MEM 79.617188 1510389956.3072
MEM 79.617188 1510389956.4922
MEM 79.617188 1510389956.6732
MEM 79.617188 1510389956.8544
MEM 79.617188 1510389957.0355
MEM 79.617188 1510389957.2166
MEM 80.121094 1510389957.3993
MEM 80.234375 1510389957.5851
MEM 80.234375 1510389957.7662
MEM 80.234375 1510389957.9465
MEM 80.234375 1510389958.1274
MEM 80.234375 1510389958.3091
MEM 80.234375 1510389958.4892
MEM 80.234375 1510389958.6693
MEM 80.234375 1510389958.8536
MEM 80.234375 1510389959.0344
MEM 81.261719 1510389959.2186
MEM 84.355469 1510389959.4009
MEM 87.449219 1510389959.5832
MEM 92.710938 1510389959.7651
MEM 89.250000 1510389959.9478
MEM 89.250000 1510389960.1318
MEM 89.250000 1510389960.3129
MEM 89.250000 1510389960.4941
MEM 89.250000 1510389960.6745
MEM 89.250000 1510389960.8548
MEM 89.503906 1510389961.0380
MEM 89.503906 1510389961.2234
MEM 90.019531 1510389961.4075
MEM 93.113281 1510389961.5894
MEM 96.207031 1510389961.7707
MEM 98.527344 1510389961.9520
MEM 98.753906 1510389962.1398
MEM 98.753906 1510389962.3238
MEM 98.753906 1510389962.5041
MEM 99.007812 1510389962.6846
MEM 99.007812 1510389962.8650
MEM 99.007812 1510389963.0622
MEM 99.546875 1510389963.2441
MEM 99.546875 1510389963.4287
MEM 99.546875 1510389963.6137
MEM 102.378906 1510389963.7964
MEM 105.472656 1510389963.9783
MEM 108.566406 1510389964.1598
MEM 108.636719 1510389964.3472
MEM 108.636719 1510389964.5311
MEM 108.636719 1510389964.7115
MEM 108.636719 1510389964.8921
MEM 108.636719 1510389965.0892
MEM 108.636719 1510389965.2697
MEM 108.890625 1510389965.4521
MEM 108.890625 1510389965.6359
MEM 109.148438 1510389965.8208
MEM 111.726562 1510389966.0030
MEM 114.820312 1510389966.1844
MEM 117.914062 1510389966.3658
MEM 118.179688 1510389966.5524
MEM 118.179688 1510389966.7361
MEM 118.179688 1510389966.9166
MEM 118.179688 1510389967.1054
MEM 118.433594 1510389967.2860
MEM 118.433594 1510389967.4663
MEM 118.949219 1510389967.6470
MEM 118.949219 1510389967.8303
MEM 118.949219 1510389968.0150
MEM 121.011719 1510389968.1986
MEM 124.105469 1510389968.3804
MEM 127.199219 1510389968.5619
MEM 128.074219 1510389968.7435
MEM 128.289062 1510389968.9276
MEM 128.289062 1510389969.1081
MEM 128.289062 1510389969.2888
MEM 128.289062 1510389969.4694
MEM 128.289062 1510389969.6500
MEM 128.804688 1510389969.8548
MEM 128.804688 1510389970.0384
MEM 129.242188 1510389970.2225
MEM 129.242188 1510389970.4128
MEM 129.808594 1510389970.5973
MEM 132.902344 1510389970.7789
MEM 135.996094 1510389970.9605
MEM 138.832031 1510389971.1422
MEM 141.925781 1510389971.3236
MEM 144.761719 1510389971.5052
MEM 147.855469 1510389971.6867
MEM 150.691406 1510389971.8682
MEM 153.785156 1510389972.0499
MEM 156.621094 1510389972.2318
MEM 159.457031 1510389972.4132
MEM 162.550781 1510389972.5950
MEM 165.386719 1510389972.7765
MEM 168.222656 1510389972.9581
MEM 171.058594 1510389973.1400
MEM 174.152344 1510389973.3216
MEM 176.988281 1510389973.5030
MEM 179.824219 1510389973.6846
MEM 182.660156 1510389973.8662
MEM 185.496094 1510389974.0478
MEM 188.589844 1510389974.2302
MEM 191.425781 1510389974.4117
MEM 194.261719 1510389974.5932
MEM 197.097656 1510389974.7749
MEM 199.933594 1510389974.9564
MEM 202.769531 1510389975.1379
MEM 205.605469 1510389975.3196
MEM 208.699219 1510389975.5077
MEM 211.535156 1510389975.6892
MEM 214.628906 1510389975.8943
MEM 217.464844 1510389976.0748
MEM 220.300781 1510389976.2552
MEM 223.136719 1510389976.4354
MEM 225.972656 1510389976.6155
MEM 228.808594 1510389976.7956
MEM 231.644531 1510389976.9757
MEM 234.480469 1510389977.1558
MEM 237.316406 1510389977.3361
MEM 240.152344 1510389977.5162
MEM 242.988281 1510389977.6962
MEM 245.824219 1510389977.8762
MEM 248.660156 1510389978.0563
MEM 251.496094 1510389978.2363
MEM 254.332031 1510389978.4163
MEM 257.167969 1510389978.5966
MEM 260.003906 1510389978.7765
MEM 262.839844 1510389978.9606
MEM 265.675781 1510389979.1406
MEM 268.511719 1510389979.3208
MEM 271.347656 1510389979.5007
MEM 273.925781 1510389979.6808
MEM 276.761719 1510389979.8608
MEM 279.597656 1510389980.0407
MEM 282.433594 1510389980.2208
MEM 285.269531 1510389980.4078
MEM 288.105469 1510389980.5883
MEM 290.941406 1510389980.7688
MEM 293.777344 1510389980.9492
MEM 296.355469 1510389981.1296
MEM 299.191406 1510389981.3102
MEM 302.027344 1510389981.4905
MEM 304.863281 1510389981.6708
MEM 307.699219 1510389981.8513
MEM 310.535156 1510389982.0318
MEM 313.371094 1510389982.2123
MEM 316.207031 1510389982.4099
MEM 319.042969 1510389982.5905
MEM 321.878906 1510389982.7708
MEM 324.714844 1510389982.9513
MEM 327.550781 1510389983.1319
MEM 330.386719 1510389983.3121
MEM 333.222656 1510389983.4926
MEM 335.800781 1510389983.6732
MEM 338.636719 1510389983.8536
MEM 341.472656 1510389984.0341
MEM 344.308594 1510389984.2145
MEM 347.144531 1510389984.4077
MEM 349.980469 1510389984.5884
MEM 352.816406 1510389984.7692
MEM 355.910156 1510389984.9753
MEM 358.746094 1510389985.1555
MEM 361.582031 1510389985.3358
MEM 364.417969 1510389985.5208
MEM 367.253906 1510389985.7011
MEM 370.089844 1510389985.8809
MEM 372.925781 1510389986.0607
MEM 375.503906 1510389986.2416
MEM 378.339844 1510389986.4321
MEM 381.175781 1510389986.6121
MEM 384.011719 1510389986.7929
MEM 386.847656 1510389986.9736
MEM 389.425781 1510389987.1542
MEM 392.261719 1510389987.3348
MEM 395.097656 1510389987.5158
MEM 397.933594 1510389987.6963
MEM 400.511719 1510389987.8770
MEM 403.089844 1510389988.0603
MEM 405.925781 1510389988.2417
MEM 408.503906 1510389988.4225
MEM 411.339844 1510389988.6038
MEM 414.175781 1510389988.7851
MEM 416.753906 1510389988.9659
MEM 419.589844 1510389989.1465
MEM 422.425781 1510389989.3272
MEM 425.003906 1510389989.5081
MEM 427.839844 1510389989.6889
MEM 430.675781 1510389989.8693
MEM 433.511719 1510389990.0501
MEM 436.089844 1510389990.2316
MEM 438.925781 1510389990.4156
MEM 441.761719 1510389990.5965
MEM 444.339844 1510389990.7773
MEM 447.175781 1510389990.9579
MEM 450.011719 1510389991.1387
MEM 452.589844 1510389991.3194
MEM 455.425781 1510389991.5002
MEM 458.261719 1510389991.6809
MEM 460.839844 1510389991.8624
MEM 463.675781 1510389992.0430
MEM 466.511719 1510389992.2240
MEM 469.347656 1510389992.4046
MEM 471.925781 1510389992.5855
MEM 474.761719 1510389992.7661
MEM 477.597656 1510389992.9470
MEM 480.175781 1510389993.1276
MEM 483.011719 1510389993.3084
MEM 485.847656 1510389993.4891
MEM 488.683594 1510389993.6699
MEM 491.261719 1510389993.8506
MEM 494.097656 1510389994.0318
MEM 496.933594 1510389994.2127
MEM 499.769531 1510389994.3938
MEM 502.347656 1510389994.5753
MEM 505.183594 1510389994.7561
MEM 508.019531 1510389994.9372
MEM 510.597656 1510389995.1179
MEM 513.433594 1510389995.2985
MEM 516.269531 1510389995.4794
MEM 519.105469 1510389995.6609
MEM 521.167969 1510389995.8422
MEM 521.167969 1510389996.0232
MEM 521.167969 1510389996.2043
MEM 521.167969 1510389996.3852
MEM 521.167969 1510389996.5665
MEM 521.167969 1510389996.7476
MEM 521.167969 1510389996.9287
MEM 521.167969 1510389997.1100
MEM 521.167969 1510389997.2909
MEM 521.167969 1510389997.4719
MEM 521.167969 1510389997.6534
MEM 521.167969 1510389997.8345
MEM 521.167969 1510389998.0155
MEM 571.957031 1510389998.2070
MEM 651.875000 1510389998.4274
MEM 732.253906 1510389998.6564
MEM 775.011719 1510389998.8736
MEM 783.523438 1510390001.9843
MEM 627.695312 1510390034.7813
MEM 624.195312 1510390034.9599
MEM 624.195312 1510390036.0698
MEM 636.699219 1510390039.9905
MEM 682.253906 1510390040.1719
MEM 682.253906 1510390040.3515
MEM 682.253906 1510390042.1500
MEM 682.253906 1510390043.9655
MEM 682.253906 1510390044.1460
MEM 682.253906 1510390045.8098
MEM 682.253906 1510390045.9906
MEM 682.253906 1510390047.9184
MEM 682.253906 1510390048.0984
MEM 682.253906 1510390049.9863
MEM 682.871094 1510390052.8834
MEM 682.871094 1510390053.0831
MEM 682.871094 1510390055.1666
MEM 683.589844 1510390055.3638
MEM 683.851562 1510390055.5444
MEM 685.675781 1510390055.8430
MEM 433.910156 1510390056.0255
MEM 435.882812 1510390056.2078
MEM 436.957031 1510390056.3901
MEM 438.312500 1510390056.5701
MEM 439.683594 1510390056.7508
MEM 440.679688 1510390056.9325
MEM 441.718750 1510390057.1155
MEM 442.992188 1510390057.2958
MEM 444.644531 1510390057.4805
MEM 445.847656 1510390057.6624
MEM 446.250000 1510390057.8415
MEM 446.250000 1510390058.0213
MEM 446.250000 1510390058.2106
MEM 446.250000 1510390058.3902
MEM 446.250000 1510390058.5690
MEM 447.273438 1510390058.7496
MEM 447.382812 1510390058.9291
MEM 447.382812 1510390059.1090
MEM 447.382812 1510390059.2881
MEM 447.382812 1510390059.4675
MEM 447.382812 1510390059.6474
MEM 448.156250 1510390059.8281
MEM 449.070312 1510390060.0119
MEM 451.421875 1510390060.1944
MEM 451.589844 1510390060.3787
MEM 451.589844 1510390060.5633
MEM 452.281250 1510390060.7472
MEM 455.375000 1510390060.9271
MEM 458.210938 1510390061.1072
MEM 461.304688 1510390061.2877
MEM 464.140625 1510390061.4676
MEM 466.976562 1510390061.6485
MEM 470.070312 1510390061.8292
MEM 472.906250 1510390062.0090
MEM 475.742188 1510390062.1888
MEM 478.578125 1510390062.3690
MEM 481.414062 1510390062.5488
MEM 484.250000 1510390062.7286
MEM 487.085938 1510390062.9085
MEM 489.921875 1510390063.0885
MEM 492.757812 1510390063.2682
MEM 495.593750 1510390063.4482
MEM 498.429688 1510390063.6280
MEM 501.265625 1510390063.8077
MEM 504.101562 1510390063.9876
MEM 506.937500 1510390064.1674
MEM 509.773438 1510390064.3479
MEM 512.609375 1510390064.5277
MEM 515.445312 1510390064.7076
MEM 515.960938 1510390064.8876
MEM 515.960938 1510390065.0682
MEM 568.296875 1510390065.2607
MEM 516.140625 1510390065.4524
MEM 516.140625 1510390065.6325
MEM 516.140625 1510390065.8111
MEM 516.140625 1510390065.9897
MEM 516.140625 1510390066.1684
MEM 516.390625 1510390066.3473
MEM 516.390625 1510390066.5277
MEM 516.390625 1510390066.7067
MEM 516.390625 1510390066.8852
MEM 516.390625 1510390067.0638
MEM 516.390625 1510390067.2424
MEM 516.902344 1510390067.4484
MEM 517.160156 1510390067.6312
MEM 517.160156 1510390067.8139
MEM 518.359375 1510390067.9933
MEM 519.371094 1510390068.1732
MEM 520.558594 1510390068.3534
MEM 521.554688 1510390068.5333
MEM 524.625000 1510390068.7131
MEM 526.554688 1510390068.8934
MEM 528.398438 1510390069.0736
MEM 530.058594 1510390069.2532
MEM 531.859375 1510390069.4333
MEM 533.601562 1510390069.6133
MEM 535.410156 1510390069.7934
MEM 543.152344 1510390069.9736
MEM 544.050781 1510390070.1553
MEM 544.296875 1510390070.3370
MEM 545.210938 1510390070.5198
MEM 548.304688 1510390070.7019
MEM 551.398438 1510390070.8817
MEM 554.234375 1510390071.0617
MEM 557.070312 1510390071.2415
MEM 559.906250 1510390071.4212
MEM 559.925781 1510390071.6015
MEM 559.925781 1510390071.7829
MEM 561.953125 1510390071.9653
MEM 563.449219 1510390072.1574
MEM 565.820312 1510390072.3399
MEM 568.140625 1510390072.5208
MEM 570.718750 1510390072.7017
MEM 573.039062 1510390072.8815
MEM 575.617188 1510390073.0624
MEM 578.195312 1510390073.2424
MEM 580.515625 1510390073.4250
MEM 583.093750 1510390073.6070
MEM 585.414062 1510390073.7896
MEM 587.992188 1510390073.9724
MEM 590.570312 1510390074.1547
MEM 592.890625 1510390074.3384
MEM 595.468750 1510390074.5282
MEM 598.046875 1510390074.7081
MEM 600.367188 1510390074.8879
MEM 602.945312 1510390075.0687
MEM 606.039062 1510390075.2496
MEM 608.617188 1510390075.4362
MEM 610.937500 1510390075.6175
MEM 613.257812 1510390075.7979
MEM 615.835938 1510390075.9788
MEM 618.156250 1510390076.1590
MEM 640.691406 1510390076.3613
MEM 641.304688 1510390076.5590
MEM 643.882812 1510390076.7395
MEM 646.203125 1510390076.9198
MEM 648.781250 1510390077.1000
